village	fam_vil	famprod	type	area	quantity	unity	price	commerc	fammarket	qta_ton	price_ton	price_ha
aguafria	a	Cana	o	2.4	10.2	ton	35	357	att	10.2	35.00	146.91
aguafria	a	Mandioca	o	9.6	5.6	ton	150	840	att	5.6	150.00	87.50
javari	a	Mandioca	o	9.6	6.4	ton	150	840	att	6.4	150.00	87.50
javari	a	Coco	o	24.6	492.0	uni	1	246	att	0.8	312.50	10.01
junco	a	Cana	o	3.4	19.5	ton	35	684	att	19.5	35.00	204.15
junco	a	Mandioca	o	0.8	0.2	ton	150	23	att	0.2	150.00	28.13
junco	a	Coco	o	55.1	750.0	uni	1	488	Att_ASTC	1.0	500.00	8.86
javari	a	Cana	o	6.0	42.6	ton	18	766	Att_ASTC	42.6	18.00	127.47
aguafria	a	Acerola	n	0.9	55.0	Kg	1	0	con 	0.1	NA	0.00
javari	a	Acerola	n	0.4	14.0	Kg	1	0	con 	0.0	NA	0.00
junco	a	Abacaxi	n	0.1	NA	uni	NA	0	con 	NA	NA	0.00
aguafria	a	Citros	n	3.3	675.0	uni	0	34	FC	0.1	250.00	10.23
aguafria	a	Coco	o	37.5	2100.0	uni	0	840	FC	3.4	250.00	22.40
aguafria	a	Abacaxi	n	1.5	1500.0	uni	1	750	FC	2.3	333.33	500.00
aguafria	a	Citros	n	0.3	1125.0	uni	0	69	FC	0.2	407.70	254.81
aguafria	a	Maracuja	n	6.0	2975.0	Kg	1	1487	FC	3.0	500.00	249.92
aguafria	a	Mandioca	o	6.7	3100.0	Kg	1	1550	FC	3.1	500.00	231.34
aguafria	a	Banana	o	5.8	5000.0	uni	0	500	FC	0.8	666.67	86.96
aguafria	a	Banana	o	9.3	4000.0	uni	0	800	FC	0.6	1333.33	86.02
aguafria	a	Mandioca	o	0.9	270.0	Kg	2	405	FC	0.3	1500.00	476.47
javari	a	Citros	n	3.3	473.0	uni	0	24	FC	0.1	250.00	7.17
javari	a	Abacaxi	n	0.2	360.0	uni	1	180	FC	0.5	333.33	750.00
javari	a	Citros	n	0.3	875.0	uni	0	53	FC	0.1	400.00	194.44
javari	a	Acerola	n	0.2	195.5	Kg	1	98	FC	0.2	500.00	575.00
javari	a	Mandioca	o	6.7	942.1	Kg	1	471	FC	0.9	500.00	70.30
javari	a	Maracuja	n	8.5	6000.0	Kg	1	3000	FC	6.0	500.00	351.29
javari	a	Graviola	n	1.9	662.0	Kg	1	530	FC	0.7	800.00	283.21
javari	a	Mandioca	o	0.9	291.0	Kg	1	378	FC	0.3	1300.00	445.06
javari	a	Banana	o	5.9	13385.0	uni	0	2677	FC	2.0	1333.33	451.43
junco	a	Citros	n	0.5	850.0	uni	0	43	FC	0.2	250.00	88.54
junco	a	Mandioca	o	1.2	630.0	Kg	2	945	FC	0.6	1500.00	780.99
aguafria	a	Banana	o	1.2	450.0	uni	0	45	F	0.1	666.67	37.50
junco	a	Mandioca	o	9.9	500.0	Kg	1	250	F	0.5	500.00	25.38
junco	a	Citros	n	0.1	180.0	uni	0	18	F	0.0	666.67	180.00
junco	a	Banana	o	9.9	18000.0	uni	0	1800	F	2.7	666.67	181.09
bomjesus	b	Acerola	n	0.9	79.2	Kg	1	48	ASTC	0.1	600.00	55.88
bomjesus	b	Cana	o	19.4	113.0	ton	35	3955	att	113.0	35.00	203.55
bomjesus	b	Mandioca	o	6.1	0.8	ton	85	68	att	0.8	85.00	11.17
bomjesus	b	Coco	o	44.4	315.0	uni	0	126	att	0.5	250.00	2.84
cousta_do	b	Cana	o	12.0	85.0	ton	18	1530	att	85.0	18.00	127.50
cousta_do	b	Mandioca	o	19.2	1.8	ton	100	183	att	1.8	100.00	9.53
cousta_do	b	Coco	o	27.3	547.0	uni	0	219	att	0.9	250.00	8.01
melos	b	Mandioca	o	22.7	9.4	ton	100	943	att	9.4	100.00	41.52
bomjesus	b	Maracuja	n	66.7	122000.0	Kg	0	54900	Att_ASTC	122.0	450.00	823.09
bomjesus	b	Graviola	n	45.6	43443.0	Kg	1	43443	Att_ASTC	43.4	1000.00	953.12
